IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.87.68,4,4,0.00,32.57,11.40,HKG
104.18.83.183,4,4,0.00,33.91,11.29,HKG
104.19.152.222,4,4,0.00,29.90,11.11,HKG
104.16.255.251,4,4,0.00,30.30,9.76,HKG
104.18.81.162,4,4,0.00,32.58,7.55,HKG
104.19.56.124,4,4,0.00,33.90,6.11,HKG
104.19.159.44,4,4,0.00,33.24,6.10,HKG
104.19.50.101,4,4,0.00,31.18,3.37,HKG
104.16.149.110,4,4,0.00,28.67,1.33,HKG
104.17.127.138,4,4,0.00,34.44,0.00,N/A
104.18.82.226,4,4,0.00,34.45,0.00,N/A
104.19.52.197,4,4,0.00,34.54,0.00,N/A
104.16.144.49,4,4,0.00,35.89,0.00,N/A
104.17.125.111,4,4,0.00,36.02,0.00,N/A
104.18.88.224,4,4,0.00,36.28,0.00,N/A
104.16.145.208,4,4,0.00,36.74,0.00,N/A
104.16.146.99,4,4,0.00,36.89,0.00,N/A
104.19.149.55,4,4,0.00,37.21,0.00,N/A
104.19.144.214,4,4,0.00,37.26,0.00,N/A
104.16.153.143,4,4,0.00,38.41,0.00,N/A
104.18.93.194,4,4,0.00,44.97,0.00,N/A
1.1.1.20,4,4,0.00,84.23,0.00,N/A
1.1.1.174,4,4,0.00,91.10,0.00,N/A
1.1.1.211,4,4,0.00,93.27,0.00,N/A
1.1.1.178,4,4,0.00,94.47,0.00,N/A
104.27.68.120,4,4,0.00,184.92,0.00,N/A
1.0.0.189,4,4,0.00,186.92,0.00,N/A
1.0.0.188,4,4,0.00,186.92,0.00,N/A
104.31.16.247,4,4,0.00,191.29,0.00,N/A
104.17.236.6,4,4,0.00,193.19,0.00,N/A
1.0.0.205,4,4,0.00,196.75,0.00,N/A
1.0.0.202,4,4,0.00,197.32,0.00,N/A
104.19.196.199,4,4,0.00,199.92,0.00,N/A
1.0.0.200,4,4,0.00,201.83,0.00,N/A
104.16.253.54,4,3,0.25,29.45,0.00,N/A
104.16.147.216,4,3,0.25,30.11,0.00,N/A
104.18.85.43,4,3,0.25,33.57,0.00,N/A
104.19.61.174,4,3,0.25,35.16,0.00,N/A
104.16.248.61,4,3,0.25,35.21,0.00,N/A
104.16.245.95,4,3,0.25,36.06,0.00,N/A
104.17.126.37,4,3,0.25,36.42,0.00,N/A
104.16.154.1,4,3,0.25,36.47,0.00,N/A
104.16.242.111,4,3,0.25,36.83,0.00,N/A
104.16.150.155,4,3,0.25,37.24,0.00,N/A
104.19.37.85,4,3,0.25,37.43,0.00,N/A
104.16.155.197,4,3,0.25,37.50,0.00,N/A
172.64.145.168,4,3,0.25,37.66,0.00,N/A
104.17.123.208,4,3,0.25,37.94,0.00,N/A
104.17.124.243,4,3,0.25,38.23,0.00,N/A
104.16.156.241,4,3,0.25,38.27,0.00,N/A
104.17.119.60,4,3,0.25,39.03,0.00,N/A
104.16.157.139,4,3,0.25,40.87,0.00,N/A
104.16.244.75,4,3,0.25,41.00,0.00,N/A
104.19.147.232,4,3,0.25,41.01,0.00,N/A
104.17.220.60,4,3,0.25,41.38,0.00,N/A
104.17.107.31,4,3,0.25,41.69,0.00,N/A
