IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.147.187,4,4,0.00,23.11,11.44,HKG
104.16.159.167,4,4,0.00,23.28,10.95,HKG
104.17.153.74,4,4,0.00,21.94,10.86,HKG
104.16.148.174,4,4,0.00,22.91,10.56,HKG
104.16.157.171,4,4,0.00,23.33,10.31,HKG
104.17.148.229,4,4,0.00,23.24,9.78,HKG
104.17.60.134,4,4,0.00,22.60,8.75,HKG
104.16.149.89,4,4,0.00,22.99,5.65,HKG
104.16.145.198,4,4,0.00,21.92,4.67,HKG
104.17.183.192,4,4,0.00,23.34,4.37,HKG
104.19.225.25,4,2,0.50,169.76,0.00,N/A
104.18.249.36,4,1,0.75,168.22,0.00,N/A
104.17.120.224,4,4,0.00,23.65,0.00,N/A
104.17.118.129,4,4,0.00,23.69,0.00,N/A
104.16.147.147,4,4,0.00,23.75,0.00,N/A
104.17.145.70,4,4,0.00,23.76,0.00,N/A
104.16.146.129,4,4,0.00,23.79,0.00,N/A
104.16.158.196,4,4,0.00,24.01,0.00,N/A
104.16.154.249,4,4,0.00,24.02,0.00,N/A
104.16.155.32,4,4,0.00,24.07,0.00,N/A
104.17.146.122,4,4,0.00,24.10,0.00,N/A
172.64.145.124,4,4,0.00,24.21,0.00,N/A
104.16.144.90,4,4,0.00,24.35,0.00,N/A
104.16.152.204,4,4,0.00,24.50,0.00,N/A
104.18.80.120,4,4,0.00,24.55,0.00,N/A
104.17.119.57,4,4,0.00,24.63,0.00,N/A
104.17.127.225,4,4,0.00,24.77,0.00,N/A
104.17.187.3,4,4,0.00,24.82,0.00,N/A
104.17.185.240,4,4,0.00,24.90,0.00,N/A
172.64.144.76,4,4,0.00,24.97,0.00,N/A
104.17.186.143,4,4,0.00,24.98,0.00,N/A
104.17.181.140,4,4,0.00,25.18,0.00,N/A
104.16.156.217,4,4,0.00,25.23,0.00,N/A
104.17.150.39,4,4,0.00,25.25,0.00,N/A
104.17.151.104,4,4,0.00,25.38,0.00,N/A
104.16.153.180,4,4,0.00,25.39,0.00,N/A
104.16.150.217,4,4,0.00,25.41,0.00,N/A
104.17.117.219,4,4,0.00,25.48,0.00,N/A
104.17.149.78,4,4,0.00,25.51,0.00,N/A
104.17.184.16,4,4,0.00,25.66,0.00,N/A
104.17.179.154,4,4,0.00,25.66,0.00,N/A
104.17.180.174,4,4,0.00,25.73,0.00,N/A
104.17.219.163,4,4,0.00,25.76,0.00,N/A
104.17.189.7,4,4,0.00,25.97,0.00,N/A
104.16.151.139,4,4,0.00,26.05,0.00,N/A
104.17.223.99,4,4,0.00,26.05,0.00,N/A
104.17.188.154,4,4,0.00,26.48,0.00,N/A
104.17.58.238,4,4,0.00,26.72,0.00,N/A
104.17.52.220,4,4,0.00,26.73,0.00,N/A
