IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
2606:4700:3035:8b41:8565:556b:f3b3:7248,4,4,0.00,157.32,11.35,SEA
2606:4700:3032:a120:4651:a2a:ab27:acfb,4,4,0.00,157.34,11.27,SEA
2606:4700:3031:e7:762f:7dbe:8ffb:9dbe,4,4,0.00,156.94,10.77,SEA
2606:4700:3036:dd:30da:c2ea:c662:ee41,4,4,0.00,157.39,9.38,SEA
2606:4700:3037:99d0:e99e:b2d3:cede:405a,4,4,0.00,157.36,9.25,SEA
2606:4700:3034:e493:d10f:d5f6:efd9:8af1,4,4,0.00,157.46,9.05,SEA
2606:4700:3031:e7:7639:1fd5:6630:a6c1,4,4,0.00,157.26,7.94,SEA
2606:4700:3030:d3d9:3f83:6bc:a6da:6315,4,4,0.00,156.98,4.22,SEA
2606:4700:3031:e7:762f:7dbe:414b:26f3,4,4,0.00,157.25,3.90,SEA
2606:4700:3034:37b5:4553:3941:dd03:2fab,4,4,0.00,157.23,3.49,SEA
2606:4700:3015::44:ad65:4438,4,1,0.75,156.49,0.00,N/A
2606:4700:3034:37b5:4553:3830:a2f5:95a,4,3,0.25,164.83,0.00,N/A
2606:4700:3034:2570:669e:e48a:7e0:a838,4,4,0.00,157.55,0.00,N/A
2606:4700:3031:b38f:8095:f1bb:32c8:b43b,4,4,0.00,157.68,0.00,N/A
2606:4700:3035:0:54:60e2:8ae5:3b51,4,4,0.00,157.69,0.00,N/A
2606:4700:3030:dd:dbf2:91a9:40f4:a131,4,4,0.00,157.71,0.00,N/A
2606:4700:3033:53d2:fe0e:b665:56ab:6c90,4,4,0.00,157.72,0.00,N/A
2606:4700:3034:a14b:bfe:db33:155c:3345,4,4,0.00,157.72,0.00,N/A
2606:4700:3033:e275:b732:8788:558e:3428,4,4,0.00,157.74,0.00,N/A
2606:4700:3031:b38f:8095:c6e8:8245:81be,4,4,0.00,157.77,0.00,N/A
2606:4700:3034:0:eba0:893:8ded:a29f,4,4,0.00,157.81,0.00,N/A
2606:4700:3034:3749:9468:814c:a5a7:9efb,4,4,0.00,157.83,0.00,N/A
2606:4700:3033:53d2:fe0e:b689:15d0:96d7,4,4,0.00,157.84,0.00,N/A
2606:4700:3034:3749:9417:6e9b:3977:2dd3,4,4,0.00,157.84,0.00,N/A
2606:4700:3033::912d:7d69,4,4,0.00,157.86,0.00,N/A
2606:4700:3030:d3d9:f39a:c5db:c38b:f2f4,4,4,0.00,157.88,0.00,N/A
2606:4700:3035:5d:1d8:489d:11fe:415e,4,4,0.00,157.88,0.00,N/A
2606:4700:3035:c8e7:a5bf:b365:710c:533b,4,4,0.00,157.89,0.00,N/A
2606:4700:3033:e275:b732:7fa3:5ef7:ac54,4,4,0.00,157.91,0.00,N/A
2606:4700:3034:37b5:f7c1:bfc3:3e4a:32d5,4,4,0.00,157.92,0.00,N/A
2606:4700:3035:5d:db9f:b359:a760:a0e6,4,4,0.00,157.93,0.00,N/A
2606:4700:3034:448e:6ab6:f11e:93bb:3f62,4,4,0.00,157.93,0.00,N/A
2606:4700:3034:3749:9468:4b06:5db7:6776,4,4,0.00,157.95,0.00,N/A
2606:4700:3034:3749:9468:2812:392a:22ec,4,4,0.00,157.97,0.00,N/A
2606:4700:3031:b38f:34ce:4502:7ac4:840e,4,4,0.00,157.99,0.00,N/A
2606:4700:3030:a80c:bd6b:7e6a:ca55:b105,4,4,0.00,158.00,0.00,N/A
2606:4700:3034:2570:669e:e47d:ed48:68d0,4,4,0.00,158.01,0.00,N/A
