IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
2606:4700:57::76b0:a7c4:551d,4,4,0.00,27.51,0.00,N/A
2606:4700:57::767a:f84a:f27d,4,4,0.00,32.50,0.00,N/A
2606:4700:57::e6:7a04:5cf5,4,4,0.00,32.51,0.00,N/A
2606:4700:57:6674:4f65:611f:2ba8:7703,4,4,0.00,34.04,0.00,N/A
2606:4700:57:0:18ea:c41c:b965:b06e,4,4,0.00,34.73,0.00,N/A
2606:4700:57:9a5f:30fd:7736:e6f:f7bc,4,4,0.00,35.35,0.00,N/A
2606:4700:57:6686:ed5c:7b07:83bb:651f,4,4,0.00,36.44,0.00,N/A
2606:4700:57::c02e:318d,4,4,0.00,37.50,0.00,N/A
2606:4700:57:0:18ea:2300:7360:da42,4,4,0.00,38.12,0.00,N/A
2606:4700:57:9a5f:30fd:cdae:c71e:7a18,4,4,0.00,38.34,0.00,N/A
2606:4700:57:0:18ea:2300:73c6:dc44,4,4,0.00,39.45,0.00,N/A
2606:4700:57:0:18ea:2300:4569:3f4c,4,4,0.00,39.50,0.00,N/A
2606:4700:57:6686:3a89:cc3e:a628:a358,4,4,0.00,39.78,0.00,N/A
2606:4700:57::76bc:fa2d:f6c0,4,4,0.00,39.99,0.00,N/A
2606:4700:57:6686:ed5c:7b4b:658e:3e4f,4,4,0.00,42.41,0.00,N/A
2606:4700:57::767a:e9c:6aae,4,4,0.00,42.51,0.00,N/A
2606:4700:57:9a5f:b7dc:b0d7:4c28:a2d8,4,4,0.00,42.56,0.00,N/A
2606:4700:57:9a5f:30fd:c61c:77ec:ccb7,4,4,0.00,43.05,0.00,N/A
